date,date,score,score,score,score,interpretation,interpretation,interpretation,interpretation
year,month,HR,HSS,LEPS,2AFC,HR,HSS,LEPS,2AFC
2021,1,27.272727272727273,-7.645259938837923,-9.613636363636362,36.111111111111114,Bueno,"Malo, menos hábil que el azar","Malo, menos hábil que la climatología",Menos hábil que el azar
2021,2,23.68421052631579,-12.448979591836737,-17.28947368421053,35.744234800838576,Regular,"Malo, menos hábil que el azar","Malo, menos hábil que la climatología",Menos hábil que el azar
2021,3,42.10526315789474,8.633879781420767,2.8947368421052624,50.0,Bueno,"Regular, casi igual de hábil que el azar","Regular, igual de hábil que la climatología",Igual de hábil que el azar
2021,4,50.0,10.338983050847451,24.434782608695652,57.94642857142857,Muy Bueno,"Regular, casi igual de hábil que el azar","Regular, igual de hábil que la climatología",Más hábil que el azar
2021,5,50.0,20.0,11.083333333333334,50.4635761589404,Muy Bueno,"Regular, casi igual de hábil que el azar","Regular, igual de hábil que la climatología",Más hábil que el azar
2021,6,35.416666666666664,2.8720626631853823,0.6875000000000001,48.69109947643979,Bueno,"Regular, casi igual de hábil que el azar","Regular, igual de hábil que la climatología",Menos hábil que el azar
2021,7,33.333333333333336,10.2803738317757,-6.979166666666665,53.55113636363637,Bueno,"Regular, casi igual de hábil que el azar","Malo, menos hábil que la climatología",Más hábil que el azar
2021,8,34.04255319148936,4.895561357702351,0.23404255319148815,53.49264705882353,Bueno,"Regular, casi igual de hábil que el azar","Regular, igual de hábil que la climatología",Más hábil que el azar
2021,9,36.170212765957444,6.560636182902585,0.9361702127659584,54.424157303370784,Bueno,"Regular, casi igual de hábil que el azar","Regular, igual de hábil que la climatología",Más hábil que el azar
2021,10,18.75,-4.522613065326633,-22.958333333333332,42.7255985267035,Regular,"Malo, menos hábil que el azar","Malo, menos hábil que la climatología",Menos hábil que el azar
2021,11,26.19047619047619,-2.278083267871168,-8.738095238095243,52.10896309314587,Bueno,"Malo, menos hábil que el azar","Malo, menos hábil que la climatología",Más hábil que el azar
2021,12,41.1764705882353,10.761154855643046,2.5882352941176467,52.25352112676056,Bueno,"Regular, casi igual de hábil que el azar","Regular, igual de hábil que la climatología",Más hábil que el azar
2022,1,46.15384615384615,2.8469750889679775,30.0,60.678391959798994,Bueno,"Regular, casi igual de hábil que el azar","Bueno, más hábil que la climatología",Más hábil que el azar
2022,2,32.35294117647059,-11.07954545454546,5.588235294117648,39.358108108108105,Bueno,"Malo, menos hábil que el azar","Regular, igual de hábil que la climatología",Menos hábil que el azar
2022,3,35.8974358974359,0.5102040816326513,0.8461538461538464,49.20477137176938,Bueno,"Regular, casi igual de hábil que el azar","Regular, igual de hábil que la climatología",Menos hábil que el azar
2022,4,51.06382978723404,17.037605525709903,15.829787234042556,49.92795389048992,Muy Bueno,"Regular, casi igual de hábil que el azar","Regular, igual de hábil que la climatología",Menos hábil que el azar
2022,5,47.82608695652174,14.285714285714286,20.804347826086957,59.61227786752827,Bueno,"Regular, casi igual de hábil que el azar","Regular, igual de hábil que la climatología",Más hábil que el azar
2022,6,41.30434782608695,6.051437216338883,12.826086956521738,54.705882352941174,Bueno,"Regular, casi igual de hábil que el azar","Regular, igual de hábil que la climatología",Más hábil que el azar
2022,7,53.333333333333336,20.72147651006711,22.977777777777778,62.41438356164384,Muy Bueno,"Regular, casi igual de hábil que el azar","Regular, igual de hábil que la climatología",Más hábil que el azar
2022,8,59.57446808510638,27.042483660130717,31.46808510638298,63.333333333333336,Muy Bueno,"Bueno, más hábil que el azar","Bueno, más hábil que la climatología",Más hábil que el azar
2022,9,31.914893617021278,-14.809160305343518,16.638297872340427,57.36434108527132,Bueno,"Malo, menos hábil que el azar","Regular, igual de hábil que la climatología",Más hábil que el azar
2022,10,46.808510638297875,15.951359084406295,1.5957446808510622,45.833333333333336,Bueno,"Regular, casi igual de hábil que el azar","Regular, igual de hábil que la climatología",Menos hábil que el azar
2022,11,57.4468085106383,-5.145413870246086,37.89361702127659,45.32442748091603,Muy Bueno,"Malo, menos hábil que el azar","Bueno, más hábil que la climatología",Menos hábil que el azar
2022,12,38.23529411764706,5.0531914893617005,1.617647058823529,50.0,Bueno,"Regular, casi igual de hábil que el azar","Regular, igual de hábil que la climatología",Igual de hábil que el azar
2023,1,52.94117647058823,26.684636118598384,12.382352941176475,57.2,Muy Bueno,"Bueno, más hábil que el azar","Regular, igual de hábil que la climatología",Más hábil que el azar
