date,date,score,score,score,score,interpretation,interpretation,interpretation,interpretation
year,month,HR,HSS,LEPS,2AFC,HR,HSS,LEPS,2AFC
2021,1,58.00554016620499,0.0,28.909972299168977,50.0,Muy Bueno,"Regular, casi igual de hábil que el azar","Bueno, más hábil que la climatología",Igual de hábil que el azar
2021,2,31.662049861495845,-0.04329356406458884,0.6548476454293594,49.97144093345761,Bueno,"Malo, menos hábil que el azar","Regular, igual de hábil que la climatología",Menos hábil que el azar
2021,3,20.083102493074794,0.0,-16.900277008310248,50.0,Regular,"Regular, casi igual de hábil que el azar","Malo, menos hábil que la climatología",Igual de hábil que el azar
2021,4,56.8421052631579,0.0,37.76869806094182,50.0,Muy Bueno,"Regular, casi igual de hábil que el azar","Bueno, más hábil que la climatología",Igual de hábil que el azar
2021,5,21.883656509695292,0.0,-1.2357340720221612,50.0,Regular,"Regular, casi igual de hábil que el azar","Malo, menos hábil que la climatología",Igual de hábil que el azar
2021,6,16.925207756232687,0.0,-22.97202216066482,50.0,Regular,"Regular, casi igual de hábil que el azar","Malo, menos hábil que la climatología",Igual de hábil que el azar
2021,7,8.89196675900277,0.0,-38.93019390581718,50.0,Regular,"Regular, casi igual de hábil que el azar","Malo, menos hábil que la climatología",Igual de hábil que el azar
2021,8,46.37119113573407,0.0,24.495290858725767,50.0,Bueno,"Regular, casi igual de hábil que el azar","Regular, igual de hábil que la climatología",Igual de hábil que el azar
2021,9,7.03601108033241,0.0,-45.53739612188366,50.0,Regular,"Regular, casi igual de hábil que el azar","Malo, menos hábil que la climatología",Igual de hábil que el azar
2021,10,2.21606648199446,0.0,-55.79529085872576,50.0,Regular,"Regular, casi igual de hábil que el azar","Pésimo, peor que la climatología",Igual de hábil que el azar
2021,11,10.858725761772853,0.03559038563938231,-38.355401662049864,49.996763841912035,Regular,"Regular, casi igual de hábil que el azar","Malo, menos hábil que la climatología",Menos hábil que el azar
2021,12,66.42659279778394,0.0,51.54764542936289,50.0,Muy Bueno,"Regular, casi igual de hábil que el azar","Bueno, más hábil que la climatología",Igual de hábil que el azar
2022,1,94.40443213296399,0.0,83.18171745152353,50.0,Excelente,"Regular, casi igual de hábil que el azar","Excelente, mucho más hábil que la climatología",Igual de hábil que el azar
2022,2,93.76731301939058,-0.04286231589519777,80.91135734072022,49.9854708482949,Excelente,"Malo, menos hábil que el azar","Excelente, mucho más hábil que la climatología",Menos hábil que el azar
2022,3,48.282548476454295,0.0,25.738504155124655,50.0,Bueno,"Regular, casi igual de hábil que el azar","Bueno, más hábil que la climatología",Igual de hábil que el azar
2022,4,57.67313019390582,0.0,39.93601108033241,50.0,Muy Bueno,"Regular, casi igual de hábil que el azar","Bueno, más hábil que la climatología",Igual de hábil que el azar
2022,5,52.49307479224377,0.0,37.558448753462606,50.0,Muy Bueno,"Regular, casi igual de hábil que el azar","Bueno, más hábil que la climatología",Igual de hábil que el azar
2022,6,38.78116343490305,0.0,13.267590027700829,50.0,Bueno,"Regular, casi igual de hábil que el azar","Regular, igual de hábil que la climatología",Igual de hábil que el azar
2022,7,27.14681440443213,0.0,-3.8603878116343497,50.0,Bueno,"Regular, casi igual de hábil que el azar","Malo, menos hábil que la climatología",Igual de hábil que el azar
2022,8,40.99722991689751,0.0,16.021883656509694,50.0,Bueno,"Regular, casi igual de hábil que el azar","Regular, igual de hábil que la climatología",Igual de hábil que el azar
2022,9,83.60110803324099,0.0,71.98864265927978,50.0,Excelente,"Regular, casi igual de hábil que el azar","Bueno, más hábil que la climatología",Igual de hábil que el azar
2022,10,4.6814404432132966,0.0,-38.90914127423823,50.0,Regular,"Regular, casi igual de hábil que el azar","Malo, menos hábil que la climatología",Igual de hábil que el azar
2022,11,75.15235457063712,0.6860217546920007,60.84875346260389,50.19748319932131,Excelente,"Regular, casi igual de hábil que el azar","Bueno, más hábil que la climatología",Más hábil que el azar
2022,12,83.57340720221606,0.0,71.32991689750693,50.0,Excelente,"Regular, casi igual de hábil que el azar","Bueno, más hábil que la climatología",Igual de hábil que el azar
